New York[6]	New York
Los Angeles	California
Chicago	Illinois
Houston[7]	Texas
Philadelphia[8]	Pennsylvania
Phoenix	Arizona
San Antonio	Texas
San Diego	California
Dallas	Texas
San Jose	California
Austin	Texas
Indianapolis[9]	Indiana
Jacksonville[10]	Florida
San Francisco[11]	California
Columbus	Ohio
Charlotte	North Carolina
Fort Worth	Texas
Detroit	Michigan
El Paso	Texas
Memphis	Tennessee
Seattle	Washington
Denver[12]	Colorado
Washington[13]	District of Columbia
Boston	Massachusetts
Nashville[14]	Tennessee
Baltimore[15]	Maryland
Oklahoma City	Oklahoma
Louisville[16]	Kentucky
Portland	Oregon
Las Vegas	Nevada
Milwaukee	Wisconsin
Albuquerque	New Mexico
Tucson	Arizona
Fresno	California
Sacramento	California
Long Beach	California
Kansas City	Missouri
Mesa	Arizona
Virginia Beach[15]	Virginia
Atlanta	Georgia
Colorado Springs	Colorado
Omaha	Nebraska
Raleigh	North Carolina
Miami	Florida
Oakland	California
Minneapolis	Minnesota
Tulsa	Oklahoma
Cleveland	Ohio
Wichita	Kansas
Arlington	Texas
New Orleans[17]	Louisiana
Bakersfield	California
Tampa	Florida
Honolulu[2]	Hawai'i
Aurora	Colorado
Anaheim	California
Santa Ana	California
St. Louis[15]	Missouri
Riverside	California
Corpus Christi	Texas
Lexington[18]	Kentucky
Pittsburgh	Pennsylvania
Anchorage[19]	Alaska
Stockton	California
Cincinnati	Ohio
Saint Paul	Minnesota
Toledo	Ohio
Greensboro	North Carolina
Newark	New Jersey
Plano	Texas
Henderson	Nevada
Lincoln	Nebraska
Buffalo	New York
Jersey City	New Jersey
Chula Vista	California
Fort Wayne	Indiana
Orlando	Florida
St. Petersburg	Florida
Chandler	Arizona
Laredo	Texas
Norfolk[15]	Virginia
Durham	North Carolina
Madison	Wisconsin
Lubbock	Texas
Irvine	California
Winston–Salem	North Carolina
Glendale	Arizona
Garland	Texas
Hialeah	Florida
Reno	Nevada
Chesapeake[15]	Virginia
